id_area,sigla,nome_area,atuacao,id_bubble_original
1,SUBPLEI,"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS DE PLANEJAMENTO, ESTRATÉGIA E INOVAÇÃO",Área fim,1747095154562x500319298685763600
2,SGJAA,SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS ADMINISTRATIVOS,Área fim,1747937515213x986311475162513400
3,ESC.DF,ESCRITÓRIO DF,Área fim,1747937561511x204741106392367100
4,SGJAI,SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS INSTITUCIONAIS,Área fim,1747937695508x404148370747949060
5,ASCOM,ASSESSORIA DE COMUNICAÇÃO,Área meio,1747937704940x538909118890508300
6,CIII,CENTRO INTEGRADO DE INVESTIGAÇÃO E INTELIGÊNCIA,Área fim,1747937711432x370888946825035800
7,ESUMP,ESCOLA SUPERIOR DO MPGO,Área fim,1747937717991x243025593384828930
8,PGJ,PROCURADORIA GERAL DE JUSTIÇA,Área fim,1747937725457x611005531110244400
9,SGJAJ,SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS JURÍDICOS,Área meio,1747937733698x382631040512163840
